dsID,region,indID,period,value,is_number,source
fts,ALA,FY370,2003,0.0,1,""
fts,ALA,FY380,2003,0.0,1,""
fts,ALA,FY500,2003,0.0,1,""
fts,ALA,FY510,2003,0.0,1,""
fts,ALA,FY520,2003,0.0,1,""
fts,ALA,FY540,2003,0.0,1,""
fts,ALA,FY550,2003,0.0,1,""
fts,ALA,FY620,2003,0.0,1,""
fts,ALA,FY630,2003,0.0,1,""
fts,ALA,FY240,2004,0.0,1,""
fts,ALA,FY360,2004,0.0,1,""
fts,ALA,FY370,2004,0.0,1,""
fts,ALA,FY380,2004,0.0,1,""
fts,ALA,FY500,2004,0.0,1,""
fts,ALA,FY510,2004,0.0,1,""
fts,ALA,FY520,2004,0.0,1,""
fts,ALA,FY540,2004,0.0,1,""
fts,ALA,FY550,2004,0.0,1,""
fts,ALA,FY620,2004,0.0,1,""
fts,ALA,FY630,2004,0.0,1,""
fts,ALA,FY240,2005,0.0,1,""
fts,ALA,FY360,2005,0.0,1,""
fts,ALA,FY370,2005,0.0,1,""
fts,ALA,FY380,2005,0.0,1,""
fts,ALA,FY500,2005,0.0,1,""
fts,ALA,FY510,2005,0.0,1,""
fts,ALA,FY520,2005,0.0,1,""
fts,ALA,FY540,2005,0.0,1,""
fts,ALA,FY550,2005,0.0,1,""
fts,ALA,FY620,2005,0.0,1,""
fts,ALA,FY630,2005,0.0,1,""
fts,ALA,FY240,2006,0.0,1,""
fts,ALA,FY360,2006,0.0,1,""
fts,ALA,FY370,2006,0.0,1,""
fts,ALA,FY380,2006,0.0,1,""
fts,ALA,FY500,2006,0.0,1,""
fts,ALA,FY510,2006,0.0,1,""
fts,ALA,FY520,2006,0.0,1,""
fts,ALA,FY540,2006,0.0,1,""
fts,ALA,FY550,2006,0.0,1,""
fts,ALA,FY620,2006,0.0,1,""
fts,ALA,FY630,2006,0.0,1,""
fts,ALA,FY240,2007,0.0,1,""
fts,ALA,FY360,2007,0.0,1,""
fts,ALA,FY370,2007,0.0,1,""
fts,ALA,FY380,2007,0.0,1,""
fts,ALA,FY500,2007,0.0,1,""
fts,ALA,FY510,2007,0.0,1,""
