Indicator,Country,Date,value
Number of suspected Ebola cases in the last 7 days,Guinea,2014-10-22,0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Guinea,2014-10-22,109
Number of confirmed Ebola cases in the last 7 days,Liberia,2014-10-22,17
Number of probable Ebola cases in the last 7 days,Liberia,2014-10-22,185
Number of suspected Ebola cases in the last 7 days,Liberia,2014-10-22,211
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Liberia,2014-10-22,413
Number of confirmed Ebola cases in the last 7 days,Sierra Leone,2014-10-22,374
Number of probable Ebola cases in the last 7 days,Sierra Leone,2014-10-22,0
Number of suspected Ebola cases in the last 7 days,Sierra Leone,2014-10-22,80
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Sierra Leone,2014-10-22,454
Proportion of confirmed Ebola cases that are from the last 7 days,Guinea,2014-10-22,8
Proportion of probable Ebola cases that are from the last 7 days,Guinea,2014-10-22,2
Proportion of suspected Ebola cases that are from the last 7 days,Guinea,2014-10-22,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Guinea,2014-10-22,7
Proportion of confirmed Ebola cases that are from the last 7 days,Liberia,2014-10-22,2
Proportion of probable Ebola cases that are from the last 7 days,Liberia,2014-10-22,9
Proportion of suspected Ebola cases that are from the last 7 days,Liberia,2014-10-22,13
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Liberia,2014-10-22,9
Proportion of confirmed Ebola cases that are from the last 7 days,Sierra Leone,2014-10-22,12
Proportion of probable Ebola cases that are from the last 7 days,Sierra Leone,2014-10-22,0
Proportion of suspected Ebola cases that are from the last 7 days,Sierra Leone,2014-10-22,18
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Sierra Leone,2014-10-22,12
Cumulative number of confirmed Ebola deaths,Guinea,2014-10-22,710
Cumulative number of probable Ebola deaths,Guinea,2014-10-22,193
Cumulative number of suspected Ebola deaths,Guinea,2014-10-22,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-22,904
Cumulative number of confirmed Ebola deaths,Liberia,2014-10-22,1241
Cumulative number of probable Ebola deaths,Liberia,2014-10-22,803
Cumulative number of suspected Ebola deaths,Liberia,2014-10-22,661
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-22,2705
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-10-22,986
Cumulative number of probable Ebola deaths,Sierra Leone,2014-10-22,164
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-10-22,109
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-10-22,1259
Cumulative number of confirmed Ebola deaths,Spain,2014-10-22,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-22,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-10-22,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-10-22,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-10-22,7
Cumulative number of probable Ebola deaths,Nigeria,2014-10-22,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-10-22,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-22,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-10-22,0
Cumulative number of probable Ebola deaths,Senegal,2014-10-22,0
Cumulative number of suspected Ebola deaths,Senegal,2014-10-22,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-22,0
Cumulative number of confirmed Ebola cases,Guinea,2014-10-25,1312
Cumulative number of probable Ebola cases,Guinea,2014-10-25,194
Cumulative number of suspected Ebola cases,Guinea,2014-10-25,47
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-25,1553
Cumulative number of confirmed Ebola cases,Liberia,2014-10-25,965
Cumulative number of probable Ebola cases,Liberia,2014-10-25,2106
Cumulative number of suspected Ebola cases,Liberia,2014-10-25,1594
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-25,4665
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-10-25,3389
Cumulative number of probable Ebola cases,Sierra Leone,2014-10-25,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-10-25,470
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-10-25,3896
Cumulative number of confirmed Ebola cases,Mali,2014-10-25,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-25,1
Cumulative number of confirmed Ebola cases,Spain,2014-10-25,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-25,1
Cumulative number of confirmed Ebola cases,United States of America,2014-10-25,4
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-10-25,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-10-25,19
Cumulative number of probable Ebola cases,Nigeria,2014-10-25,1
Cumulative number of suspected Ebola cases,Nigeria,2014-10-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-25,20
Cumulative number of confirmed Ebola cases,Senegal,2014-10-25,1
Cumulative number of probable Ebola cases,Senegal,2014-10-25,0
Cumulative number of suspected Ebola cases,Senegal,2014-10-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-25,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-10-25,732
Cumulative number of probable Ebola deaths,Guinea,2014-10-25,194
Cumulative number of suspected Ebola deaths,Guinea,2014-10-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-25,926
Cumulative number of confirmed Ebola deaths,Liberia,2014-10-25,1241
Cumulative number of probable Ebola deaths,Liberia,2014-10-25,803
Cumulative number of suspected Ebola deaths,Liberia,2014-10-25,661
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-25,2705
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-10-25,1008
Cumulative number of probable Ebola deaths,Sierra Leone,2014-10-25,164
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-10-25,109
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-10-25,1281
Cumulative number of confirmed Ebola deaths,Mali,2014-10-25,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-10-25,1
Cumulative number of confirmed Ebola deaths,Spain,2014-10-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-25,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-10-25,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-10-25,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-10-25,7
Cumulative number of probable Ebola deaths,Nigeria,2014-10-25,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-10-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-25,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-10-25,0
Cumulative number of probable Ebola deaths,Senegal,2014-10-25,0
Cumulative number of suspected Ebola deaths,Senegal,2014-10-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-25,0
Cumulative number of confirmed Ebola cases,Guinea,2014-10-29,1391
Cumulative number of probable Ebola cases,Guinea,2014-10-29,199
Cumulative number of suspected Ebola cases,Guinea,2014-10-29,316
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-29,1906
Cumulative number of confirmed Ebola cases,Liberia,2014-10-29,2515
Cumulative number of probable Ebola cases,Liberia,2014-10-29,1540
Cumulative number of suspected Ebola cases,Liberia,2014-10-29,2480
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-29,6535
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-10-29,3700
Cumulative number of probable Ebola cases,Sierra Leone,2014-10-29,322
Cumulative number of suspected Ebola cases,Sierra Leone,2014-10-29,1213
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-10-29,5235
Cumulative number of confirmed Ebola cases,Mali,2014-10-29,1
Cumulative number of probable Ebola cases,Mali,2014-10-29,0
Cumulative number of suspected Ebola cases,Mali,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-29,1
Cumulative number of confirmed Ebola cases,Spain,2014-10-29,1
Cumulative number of probable Ebola cases,Spain,2014-10-29,0
Cumulative number of suspected Ebola cases,Spain,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-29,1
Cumulative number of confirmed Ebola cases,United States of America,2014-10-29,4
Cumulative number of probable Ebola cases,United States of America,2014-10-29,0
Cumulative number of suspected Ebola cases,United States of America,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-10-29,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-10-29,19
Cumulative number of probable Ebola cases,Nigeria,2014-10-29,1
Cumulative number of suspected Ebola cases,Nigeria,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-29,20
Cumulative number of confirmed Ebola cases,Senegal,2014-10-29,1
Cumulative number of probable Ebola cases,Senegal,2014-10-29,0
Cumulative number of suspected Ebola cases,Senegal,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-29,1
Number of confirmed Ebola cases in the last 7 days,Guinea,2014-10-29,332
Number of probable Ebola cases in the last 7 days,Guinea,2014-10-29,19
Number of suspected Ebola cases in the last 7 days,Guinea,2014-10-29,315
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Guinea,2014-10-29,666
Number of confirmed Ebola cases in the last 7 days,Liberia,2014-10-29,35
Number of probable Ebola cases in the last 7 days,Liberia,2014-10-29,363
Number of suspected Ebola cases in the last 7 days,Liberia,2014-10-29,469
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Liberia,2014-10-29,867
Number of confirmed Ebola cases in the last 7 days,Sierra Leone,2014-10-29,1187
Number of probable Ebola cases in the last 7 days,Sierra Leone,2014-10-29,14
Number of suspected Ebola cases in the last 7 days,Sierra Leone,2014-10-29,232
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Sierra Leone,2014-10-29,1433
Proportion of confirmed Ebola cases that are from the last 7 days,Guinea,2014-10-29,24
Proportion of probable Ebola cases that are from the last 7 days,Guinea,2014-10-29,10
Proportion of suspected Ebola cases that are from the last 7 days,Guinea,2014-10-29,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Guinea,2014-10-29,35
Proportion of confirmed Ebola cases that are from the last 7 days,Liberia,2014-10-29,1
Proportion of probable Ebola cases that are from the last 7 days,Liberia,2014-10-29,24
Proportion of suspected Ebola cases that are from the last 7 days,Liberia,2014-10-29,19
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Liberia,2014-10-29,13
Proportion of confirmed Ebola cases that are from the last 7 days,Sierra Leone,2014-10-29,32
Proportion of probable Ebola cases that are from the last 7 days,Sierra Leone,2014-10-29,4
Proportion of suspected Ebola cases that are from the last 7 days,Sierra Leone,2014-10-29,19
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Sierra Leone,2014-10-29,27
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-29,997
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-29,2413
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-10-29,1500
Cumulative number of confirmed Ebola deaths,Mali,2014-10-29,1
Cumulative number of probable Ebola deaths,Mali,2014-10-29,0
Cumulative number of suspected Ebola deaths,Mali,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-10-29,1
Cumulative number of confirmed Ebola deaths,Spain,2014-10-29,0
Cumulative number of probable Ebola deaths,Spain,2014-10-29,0
Cumulative number of suspected Ebola deaths,Spain,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-29,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-10-29,1
Cumulative number of probable Ebola deaths,United States of America,2014-10-29,0
Cumulative number of suspected Ebola deaths,United States of America,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-10-29,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-10-29,7
Cumulative number of probable Ebola deaths,Nigeria,2014-10-29,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-29,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-10-29,0
Cumulative number of probable Ebola deaths,Senegal,2014-10-29,0
Cumulative number of suspected Ebola deaths,Senegal,2014-10-29,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-29,0
Cumulative number of confirmed Ebola cases,Guinea,2014-10-31,1409
Cumulative number of probable Ebola cases,Guinea,2014-10-31,204
Cumulative number of suspected Ebola cases,Guinea,2014-10-31,54
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-31,1667
Cumulative number of confirmed Ebola cases,Liberia,2014-10-31,2515
Cumulative number of probable Ebola cases,Liberia,2014-10-31,1540
Cumulative number of suspected Ebola cases,Liberia,2014-10-31,2480
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-31,6535
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-10-31,3778
Cumulative number of probable Ebola cases,Sierra Leone,2014-10-31,322
Cumulative number of suspected Ebola cases,Sierra Leone,2014-10-31,1238
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-10-31,5338
Cumulative number of confirmed Ebola cases,Mali,2014-10-31,1
Cumulative number of probable Ebola cases,Mali,2014-10-31,0
Cumulative number of suspected Ebola cases,Mali,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-31,1
Cumulative number of confirmed Ebola cases,Spain,2014-10-31,1
Cumulative number of probable Ebola cases,Spain,2014-10-31,0
Cumulative number of suspected Ebola cases,Spain,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-31,1
Cumulative number of confirmed Ebola cases,United States of America,2014-10-31,4
Cumulative number of probable Ebola cases,United States of America,2014-10-31,0
Cumulative number of suspected Ebola cases,United States of America,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-10-31,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-10-31,19
Cumulative number of probable Ebola cases,Nigeria,2014-10-31,1
Cumulative number of suspected Ebola cases,Nigeria,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-31,20
Cumulative number of confirmed Ebola cases,Senegal,2014-10-31,1
Cumulative number of probable Ebola cases,Senegal,2014-10-31,0
Cumulative number of suspected Ebola cases,Senegal,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-31,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-31,1018
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-31,2413
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-10-31,1510
Cumulative number of confirmed Ebola deaths,Mali,2014-10-31,1
Cumulative number of probable Ebola deaths,Mali,2014-10-31,0
Cumulative number of suspected Ebola deaths,Mali,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-10-31,1
Cumulative number of confirmed Ebola deaths,Spain,2014-10-31,0
Cumulative number of probable Ebola deaths,Spain,2014-10-31,0
Cumulative number of suspected Ebola deaths,Spain,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-31,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-10-31,1
Cumulative number of probable Ebola deaths,United States of America,2014-10-31,0
Cumulative number of suspected Ebola deaths,United States of America,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-10-31,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-10-31,7
Cumulative number of probable Ebola deaths,Nigeria,2014-10-31,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-31,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-10-31,0
Cumulative number of probable Ebola deaths,Senegal,2014-10-31,0
Cumulative number of suspected Ebola deaths,Senegal,2014-10-31,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-31,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-05,1457
Cumulative number of probable Ebola cases,Guinea,2014-11-05,204
Cumulative number of suspected Ebola cases,Guinea,2014-11-05,70
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-05,1731
Cumulative number of confirmed Ebola cases,Liberia,2014-11-05,2451
Cumulative number of probable Ebola cases,Liberia,2014-11-05,1627
Cumulative number of suspected Ebola cases,Liberia,2014-11-05,2447
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-05,6525
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-05,4057
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-05,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-05,623
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-05,4759
Cumulative number of confirmed Ebola cases,Mali,2014-11-05,1
Cumulative number of probable Ebola cases,Mali,2014-11-05,0
Cumulative number of suspected Ebola cases,Mali,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-05,1
Cumulative number of confirmed Ebola cases,Spain,2014-11-05,1
Cumulative number of probable Ebola cases,Spain,2014-11-05,0
Cumulative number of suspected Ebola cases,Spain,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-05,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-05,4
Cumulative number of probable Ebola cases,United States of America,2014-11-05,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-05,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-05,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-05,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-05,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-05,1
Cumulative number of probable Ebola cases,Senegal,2014-11-05,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-05,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-11-05,247
Number of probable Ebola cases in the last 21 days,Guinea,2014-11-05,9
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-11-05,256
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-11-05,19
Number of probable Ebola cases in the last 21 days,Liberia,2014-11-05,379
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-11-05,398
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-11-05,1160
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-11-05,14
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-11-05,1174
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-05,837
Cumulative number of probable Ebola deaths,Guinea,2014-11-05,204
Cumulative number of suspected Ebola deaths,Guinea,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-05,1041
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-05,2697
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-05,893
Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-05,142
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-05,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-05,1070
Cumulative number of confirmed Ebola deaths,Mali,2014-11-05,1
Cumulative number of probable Ebola deaths,Mali,2014-11-05,0
Cumulative number of suspected Ebola deaths,Mali,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-05,1
Cumulative number of confirmed Ebola deaths,Spain,2014-11-05,0
Cumulative number of probable Ebola deaths,Spain,2014-11-05,0
Cumulative number of suspected Ebola deaths,Spain,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-05,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-11-05,1
Cumulative number of probable Ebola deaths,United States of America,2014-11-05,0
Cumulative number of suspected Ebola deaths,United States of America,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-05,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-05,7
Cumulative number of probable Ebola deaths,Nigeria,2014-11-05,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-05,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-11-05,0
Cumulative number of probable Ebola deaths,Senegal,2014-11-05,0
Cumulative number of suspected Ebola deaths,Senegal,2014-11-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-05,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-07,1479
Cumulative number of probable Ebola cases,Guinea,2014-11-07,204
Cumulative number of suspected Ebola cases,Guinea,2014-11-07,77
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-07,1760
Cumulative number of confirmed Ebola cases,Liberia,2014-11-07,2514
Cumulative number of probable Ebola cases,Liberia,2014-11-07,1629
Cumulative number of suspected Ebola cases,Liberia,2014-11-07,2476
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-07,6619
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-07,4149
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-07,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-07,634
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-07,4862
Cumulative number of confirmed Ebola cases,Mali,2014-11-07,1
Cumulative number of probable Ebola cases,Mali,2014-11-07,0
Cumulative number of suspected Ebola cases,Mali,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-07,1
Cumulative number of confirmed Ebola cases,Spain,2014-11-07,1
Cumulative number of probable Ebola cases,Spain,2014-11-07,0
Cumulative number of suspected Ebola cases,Spain,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-07,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-07,4
Cumulative number of probable Ebola cases,United States of America,2014-11-07,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-07,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-07,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-07,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-07,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-07,1
Cumulative number of probable Ebola cases,Senegal,2014-11-07,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-07,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-07,850
Cumulative number of probable Ebola deaths,Guinea,2014-11-07,204
Cumulative number of suspected Ebola deaths,Guinea,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-07,1054
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-07,2766
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-07,921
Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-07,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-07,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-07,1130
Cumulative number of confirmed Ebola deaths,Mali,2014-11-07,1
Cumulative number of probable Ebola deaths,Mali,2014-11-07,0
Cumulative number of suspected Ebola deaths,Mali,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-07,1
Cumulative number of confirmed Ebola deaths,Spain,2014-11-07,0
Cumulative number of probable Ebola deaths,Spain,2014-11-07,0
Cumulative number of suspected Ebola deaths,Spain,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-07,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-11-07,1
Cumulative number of probable Ebola deaths,United States of America,2014-11-07,0
Cumulative number of suspected Ebola deaths,United States of America,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-07,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-07,7
Cumulative number of probable Ebola deaths,Nigeria,2014-11-07,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-07,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-11-07,0
Cumulative number of probable Ebola deaths,Senegal,2014-11-07,0
Cumulative number of suspected Ebola deaths,Senegal,2014-11-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-07,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-12,1612
Cumulative number of probable Ebola cases,Guinea,2014-11-12,208
Cumulative number of suspected Ebola cases,Guinea,2014-11-12,58
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-12,1878
Cumulative number of confirmed Ebola cases,Liberia,2014-11-12,2553
Cumulative number of probable Ebola cases,Liberia,2014-11-12,1687
Cumulative number of suspected Ebola cases,Liberia,2014-11-12,2582
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-12,6822
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-12,4523
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-12,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-12,766
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-12,5368
Cumulative number of confirmed Ebola cases,Mali,2014-11-12,2
Cumulative number of probable Ebola cases,Mali,2014-11-12,2
Cumulative number of suspected Ebola cases,Mali,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-12,4
Cumulative number of confirmed Ebola cases,Spain,2014-11-12,1
Cumulative number of probable Ebola cases,Spain,2014-11-12,0
Cumulative number of suspected Ebola cases,Spain,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-12,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-12,4
Cumulative number of probable Ebola cases,United States of America,2014-11-12,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-12,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-12,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-12,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-12,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-12,1
Cumulative number of probable Ebola cases,Senegal,2014-11-12,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-12,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-12,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-11-12,313
Number of probable Ebola cases in the last 21 days,Guinea,2014-11-12,12
