Indicator,Country,Date,value
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Senegal,2014-09-05,0
Cumulative number of confirmed Ebola cases,Guinea,2014-09-08,664
Cumulative number of probable Ebola cases,Guinea,2014-09-08,151
Cumulative number of suspected Ebola cases,Guinea,2014-09-08,47
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-08,862
Cumulative number of confirmed Ebola cases,Liberia,2014-09-08,634
Cumulative number of probable Ebola cases,Liberia,2014-09-08,969
Cumulative number of suspected Ebola cases,Liberia,2014-09-08,443
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-08,2046
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-08,1234
Cumulative number of probable Ebola cases,Sierra Leone,2014-09-08,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-09-08,90
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-08,1361
Cumulative number of confirmed Ebola cases,Nigeria,2014-09-08,19
Cumulative number of probable Ebola cases,Nigeria,2014-09-08,1
Cumulative number of suspected Ebola cases,Nigeria,2014-09-08,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-08,21
Cumulative number of confirmed Ebola cases,Senegal,2014-09-08,1
Cumulative number of probable Ebola cases,Senegal,2014-09-08,0
Cumulative number of suspected Ebola cases,Senegal,2014-09-08,2
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-08,3
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-09-08,286
Number of probable Ebola cases in the last 21 days,Guinea,2014-09-08,18
Number of suspected Ebola cases in the last 21 days,Guinea,2014-09-08,35
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-08,339
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-09-08,434
Number of probable Ebola cases in the last 21 days,Liberia,2014-09-08,525
Number of suspected Ebola cases in the last 21 days,Liberia,2014-09-08,253
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-08,1212
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-09-08,484
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-09-08,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,2014-09-08,49
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-09-08,533
Number of confirmed Ebola cases in the last 21 days,Nigeria,2014-09-08,7
Number of probable Ebola cases in the last 21 days,Nigeria,2014-09-08,1
Number of suspected Ebola cases in the last 21 days,Nigeria,2014-09-08,0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-09-08,8
Number of confirmed Ebola cases in the last 21 days,Senegal,2014-09-08,1
Number of probable Ebola cases in the last 21 days,Senegal,2014-09-08,0
Number of suspected Ebola cases in the last 21 days,Senegal,2014-09-08,2
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,2014-09-08,3
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,2014-09-08,43
Proportion of probable Ebola cases that are from the last 21 days,Guinea,2014-09-08,12
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,2014-09-08,74
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-08,39
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,2014-09-08,68
Proportion of probable Ebola cases that are from the last 21 days,Liberia,2014-09-08,54
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,2014-09-08,57
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-08,59
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,2014-09-08,39
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,2014-09-08,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,2014-09-08,54
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,2014-09-08,39
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,2014-09-08,37
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,2014-09-08,100
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,2014-09-08,0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-08,38
Proportion of confirmed Ebola cases that are from the last 21 days,Senegal,2014-09-08,100
Proportion of suspected Ebola cases that are from the last 21 days,Senegal,2014-09-08,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,2014-09-08,100
Cumulative number of confirmed Ebola deaths,Guinea,2014-09-08,400
Cumulative number of probable Ebola deaths,Guinea,2014-09-08,151
Cumulative number of suspected Ebola deaths,Guinea,2014-09-08,4
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-08,555
Cumulative number of confirmed Ebola deaths,Liberia,2014-09-08,508
Cumulative number of probable Ebola deaths,Liberia,2014-09-08,420
Cumulative number of suspected Ebola deaths,Liberia,2014-09-08,296
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-08,1224
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-09-08,461
Cumulative number of probable Ebola deaths,Sierra Leone,2014-09-08,37
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-09-08,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-09-08,509
Cumulative number of confirmed Ebola deaths,Nigeria,2014-09-08,7
Cumulative number of probable Ebola deaths,Nigeria,2014-09-08,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-09-08,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-08,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-09-08,0
Cumulative number of probable Ebola deaths,Senegal,2014-09-08,0
Cumulative number of suspected Ebola deaths,Senegal,2014-09-08,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-08,0
Number of confirmed Ebola deaths in the last 21 days,Guinea,2014-09-08,120
Number of probable Ebola deaths in the last 21 days,Guinea,2014-09-08,35
Number of suspected Ebola deaths in the last 21 days,Guinea,2014-09-08,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,2014-09-08,155
Number of confirmed Ebola deaths in the last 21 days,Liberia,2014-09-08,330
Number of probable Ebola deaths in the last 21 days,Liberia,2014-09-08,218
Number of suspected Ebola deaths in the last 21 days,Liberia,2014-09-08,210
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,2014-09-08,758
Number of confirmed Ebola deaths in the last 21 days,Sierra Leone,2014-09-08,148
Number of probable Ebola deaths in the last 21 days,Sierra Leone,2014-09-08,0
Number of suspected Ebola deaths in the last 21 days,Sierra Leone,2014-09-08,6
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Sierra Leone,2014-09-08,154
Number of confirmed Ebola deaths in the last 21 days,Nigeria,2014-09-08,3
Number of probable Ebola deaths in the last 21 days,Nigeria,2014-09-08,1
Number of suspected Ebola deaths in the last 21 days,Nigeria,2014-09-08,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,2014-09-08,4
Number of confirmed Ebola deaths in the last 21 days,Senegal,2014-09-08,0
Number of probable Ebola deaths in the last 21 days,Senegal,2014-09-08,0
Number of suspected Ebola deaths in the last 21 days,Senegal,2014-09-08,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Senegal,2014-09-08,0
Proportion of confirmed Ebola deaths that are from the last 21 days,Guinea,2014-09-08,30
Proportion of probable Ebola deaths that are from the last 21 days,Guinea,2014-09-08,23
Proportion of suspected Ebola deaths that are from the last 21 days,Guinea,2014-09-08,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,2014-09-08,28
Proportion of confirmed Ebola deaths that are from the last 21 days,Liberia,2014-09-08,65
Proportion of probable Ebola deaths that are from the last 21 days,Liberia,2014-09-08,52
Proportion of suspected Ebola deaths that are from the last 21 days,Liberia,2014-09-08,71
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,2014-09-08,62
Proportion of confirmed Ebola deaths that are from the last 21 days,Sierra Leone,2014-09-08,32
Proportion of probable Ebola deaths that are from the last 21 days,Sierra Leone,2014-09-08,0
Proportion of suspected Ebola deaths that are from the last 21 days,Sierra Leone,2014-09-08,55
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Sierra Leone,2014-09-08,30
Proportion of confirmed Ebola deaths that are from the last 21 days,Nigeria,2014-09-08,43
Proportion of probable Ebola deaths that are from the last 21 days,Nigeria,2014-09-08,100
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,2014-09-08,50
Cumulative number of confirmed Ebola cases,Guinea,2014-09-12,678
Cumulative number of probable Ebola cases,Guinea,2014-09-12,151
Cumulative number of suspected Ebola cases,Guinea,2014-09-12,32
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-12,861
Cumulative number of confirmed Ebola cases,Liberia,2014-09-12,654
Cumulative number of probable Ebola cases,Liberia,2014-09-12,974
Cumulative number of suspected Ebola cases,Liberia,2014-09-12,453
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-12,2081
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-12,1287
Cumulative number of probable Ebola cases,Sierra Leone,2014-09-12,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-09-12,100
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-12,1424
Cumulative number of confirmed Ebola cases,Nigeria,2014-09-12,19
Cumulative number of probable Ebola cases,Nigeria,2014-09-12,1
Cumulative number of suspected Ebola cases,Nigeria,2014-09-12,1
